                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0309,                 1.0424,                 1.1258,                0.74043,                0.75358,                0.81816,                0.62313,                0.93952,                0.82249,                 1.0922,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.0374,                 1.0243,                 1.1304,                0.69978,                 0.7462,                 0.8093,                0.62833,                0.91384,                0.84314,                 1.0791,               0.000307,               0.000307,               0.000307
                     37,                 1.0275,                 1.0083,                  1.121,                0.79234,                0.74747,                0.84143,                0.65658,                0.88759,                0.76424,                 1.0668,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.0115,                0.99022,                 1.1163,                0.72069,                0.81582,                0.84429,                0.65418,                 0.8728,                0.76318,                 1.0581,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.0011,                0.97338,                 1.1166,                0.79795,                0.79989,                 0.8588,                0.66247,                0.88568,                0.76169,                 1.0695,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.0112,                0.95416,                 1.1086,                 0.7996,                0.82795,                0.87251,                0.68261,                0.87689,                0.73737,                 1.0666,              0.0002278,              0.0002278,              0.0002278
                     41,                0.94307,                0.84605,                 1.0929,                0.67483,                0.80997,                0.81609,                0.62747,                0.87136,                0.78112,                 1.0564,               0.000208,               0.000208,               0.000208
                     42,                0.92122,                0.79912,                 1.0805,                 0.7991,                0.72137,                0.85765,                0.66193,                0.84901,                0.72483,                 1.0462,              0.0001882,              0.0001882,              0.0001882
                     43,                0.91008,                0.77375,                 1.0732,                0.74194,                0.86341,                0.88356,                0.69602,                0.82915,                0.71438,                 1.0434,              0.0001684,              0.0001684,              0.0001684
                     44,                0.90626,                0.76548,                 1.0693,                 0.8109,                0.86818,                0.89377,                0.70985,                0.81663,                0.67766,                 1.0274,              0.0001486,              0.0001486,              0.0001486
                     45,                0.88379,                 0.7491,                 1.0543,                0.83673,                0.83797,                0.90996,                0.73794,                0.79435,                 0.6596,                 1.0113,              0.0001288,              0.0001288,              0.0001288
                     46,                0.87542,                0.71744,                  1.054,                0.83718,                0.86043,                0.92141,                0.74246,                0.78822,                0.64393,                 1.0081,               0.000109,               0.000109,               0.000109
                     47,                0.86006,                0.70564,                  1.039,                0.85484,                0.88098,                0.92537,                  0.747,                0.78135,                0.63827,                 1.0073,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.85611,                0.70111,                 1.0381,                0.80247,                 0.9186,                0.92435,                0.75317,                0.77414,                0.62215,                 1.0031,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.84664,                0.67472,                 1.0354,                0.87382,                0.87497,                0.93223,                0.75776,                0.76569,                0.61433,                 0.9997,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                0.83426,                0.66253,                 1.0257,                0.90402,                0.89351,                0.94369,                0.76684,                0.75862,                0.60521,                0.99559,               2.98e-05,               2.98e-05,               2.98e-05
