                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.851,                0.68819,                 1.0208,                0.90805,                0.94018,                0.95983,                0.77833,                0.77467,                0.51211,                0.96495,             0.00033097,             0.00033097,             0.00033097
                      2,                0.90081,                0.75617,                 1.0367,                0.86759,                0.86454,                0.93556,                0.74627,                0.81472,                0.62069,                0.99359,             0.00065773,             0.00065773,             0.00065773
                      3,                0.94947,                0.82046,                 1.0638,                0.79229,                0.75471,                0.84185,                0.62534,                0.92325,                0.79515,                 1.0429,             0.00097788,             0.00097788,             0.00097788
                      4,                0.98807,                0.87304,                 1.0863,                0.72039,                 0.7706,                0.82981,                0.63403,                0.91312,                0.83272,                 1.0387,              0.0009703,              0.0009703,              0.0009703
                      5,                0.99252,                0.90968,                  1.085,                0.67929,                0.86443,                0.80737,                0.60521,                0.93688,                0.84254,                 1.0513,              0.0009604,              0.0009604,              0.0009604
                      6,                0.98463,                0.86599,                 1.0856,                0.78647,                 0.6831,                0.78481,                0.57709,                 0.9429,                0.89019,                 1.0502,              0.0009505,              0.0009505,              0.0009505
                      7,                0.99651,                 0.8953,                 1.0897,                0.78642,                0.73074,                0.83559,                0.63237,                 0.9419,                0.81142,                 1.0398,              0.0009406,              0.0009406,              0.0009406
                      8,                0.99152,                0.90537,                 1.0804,                0.74014,                0.81939,                0.85087,                0.63715,                0.95189,                0.83816,                 1.0658,              0.0009307,              0.0009307,              0.0009307
                      9,                0.98963,                0.88057,                  1.082,                0.76089,                0.77181,                0.79504,                0.59639,                0.95724,                0.91863,                 1.0843,              0.0009208,              0.0009208,              0.0009208
                     10,                0.97258,                0.85975,                  1.083,                0.74995,                0.70753,                0.76167,                0.55435,                0.98461,                 0.9375,                 1.0958,              0.0009109,              0.0009109,              0.0009109
                     11,                0.94512,                 0.8352,                 1.0694,                0.72685,                0.82212,                 0.8183,                0.60974,                 0.9541,                0.83072,                 1.0723,               0.000901,               0.000901,               0.000901
                     12,                0.96232,                0.85026,                 1.0684,                0.64599,                0.75985,                0.75097,                0.54224,                  1.029,                0.97922,                 1.1132,              0.0008911,              0.0008911,              0.0008911
                     13,                 0.9687,                0.81609,                 1.0744,                 0.7533,                0.71288,                0.76852,                0.55143,                0.99161,                0.90663,                 1.1024,              0.0008812,              0.0008812,              0.0008812
                     14,                0.96293,                0.80231,                 1.0638,                0.61184,                0.77285,                0.74054,                0.53483,                 1.0547,                0.97486,                 1.1134,              0.0008713,              0.0008713,              0.0008713
                     15,                0.95382,                0.83345,                 1.0614,                0.58336,                0.75742,                0.71646,                0.52614,                 0.9722,                0.96098,                  1.068,              0.0008614,              0.0008614,              0.0008614
                     16,                0.94911,                0.80762,                 1.0526,                0.74956,                0.72674,                 0.7963,                0.58504,                0.98555,                0.83173,                  1.073,              0.0008515,              0.0008515,              0.0008515
                     17,                0.94499,                0.78549,                 1.0552,                0.66755,                0.79031,                0.77928,                 0.5746,                 1.0206,                0.91582,                 1.0761,              0.0008416,              0.0008416,              0.0008416
                     18,                0.93576,                0.78035,                 1.0608,                0.67315,                0.66417,                0.71454,                0.53052,                 0.9704,                0.96343,                 1.0732,              0.0008317,              0.0008317,              0.0008317
                     19,                0.95577,                0.79841,                  1.057,                0.72209,                 0.7686,                0.76765,                0.55479,                 1.0313,                0.94031,                 1.0861,              0.0008218,              0.0008218,              0.0008218
                     20,                0.92712,                0.76821,                 1.0474,                0.73803,                0.67277,                0.77412,                  0.563,                0.97909,                0.93437,                 1.0736,              0.0008119,              0.0008119,              0.0008119
                     21,                 0.9215,                0.75785,                 1.0518,                 0.7239,                0.68439,                0.74308,                0.53713,                 1.0188,                 1.0087,                 1.1104,               0.000802,               0.000802,               0.000802
                     22,                0.91709,                0.74941,                 1.0441,                 0.7688,                0.72602,                0.81571,                0.60572,                0.98046,                0.88343,                 1.0816,              0.0007921,              0.0007921,              0.0007921
                     23,                0.90412,                0.73207,                 1.0374,                0.82278,                0.71692,                0.80481,                 0.6038,                0.98538,                0.90599,                 1.0768,              0.0007822,              0.0007822,              0.0007822
                     24,                 0.9127,                0.74586,                 1.0438,                0.68108,                0.73843,                 0.7403,                0.54619,                 1.0078,                0.95401,                 1.0753,              0.0007723,              0.0007723,              0.0007723
                     25,                0.89905,                  0.733,                 1.0342,                0.74938,                0.72315,                0.76516,                0.56898,                  0.982,                0.91691,                 1.0719,              0.0007624,              0.0007624,              0.0007624
                     26,                 0.8912,                0.73849,                 1.0385,                0.66443,                0.77939,                 0.7556,                0.54177,                 1.0334,                 1.0146,                  1.114,              0.0007525,              0.0007525,              0.0007525
                     27,                0.90226,                0.73014,                 1.0367,                 0.7322,                0.77091,                0.80118,                0.58936,                0.98714,                0.89434,                 1.0863,              0.0007426,              0.0007426,              0.0007426
                     28,                0.89041,                0.70355,                 1.0309,                0.72148,                0.71421,                 0.7582,                0.55027,                 1.0432,                 1.0136,                 1.1073,              0.0007327,              0.0007327,              0.0007327
                     29,                0.88388,                0.72426,                 1.0238,                0.70423,                0.75589,                0.74972,                0.54584,                0.99536,                0.94303,                 1.0925,              0.0007228,              0.0007228,              0.0007228
                     30,                0.88511,                0.71963,                 1.0249,                0.65938,                0.78066,                0.75847,                0.54653,                 1.0054,                0.92947,                 1.0761,              0.0007129,              0.0007129,              0.0007129
                     31,                0.86886,                0.69417,                 1.0251,                0.75526,                0.76001,                0.80429,                0.59943,                0.97088,                0.85318,                 1.0756,               0.000703,               0.000703,               0.000703
                     32,                0.86739,                0.68105,                 1.0243,                0.64185,                0.64127,                 0.6851,                 0.4958,                 1.0344,                 1.1452,                 1.1207,              0.0006931,              0.0006931,              0.0006931
                     33,                0.85843,                0.66897,                  1.012,                0.65483,                0.83688,                0.77326,                 0.5655,                0.98539,                0.94371,                 1.0825,              0.0006832,              0.0006832,              0.0006832
                     34,                0.85632,                0.67867,                 1.0147,                0.69387,                0.75888,                0.76866,                0.57305,                0.99215,                0.97985,                 1.0869,              0.0006733,              0.0006733,              0.0006733
                     35,                0.86047,                0.66939,                 1.0209,                0.75897,                0.71981,                 0.7787,                0.58416,                 0.9794,                0.93465,                 1.0684,              0.0006634,              0.0006634,              0.0006634
                     36,                0.84203,                0.66618,                 1.0077,                0.75436,                0.73844,                0.74958,                  0.551,                0.97791,                 1.0035,                 1.0843,              0.0006535,              0.0006535,              0.0006535
                     37,                0.84287,                0.64584,                 1.0113,                0.70085,                 0.8097,                0.77139,                0.57287,                0.98307,                0.92599,                 1.0684,              0.0006436,              0.0006436,              0.0006436
                     38,                0.83628,                0.64786,                 1.0089,                0.71602,                 0.7662,                0.79644,                0.57861,                 0.9875,                0.94855,                  1.084,              0.0006337,              0.0006337,              0.0006337
                     39,                 0.8343,                0.64691,                 1.0066,                0.72878,                0.74401,                0.78895,                0.58668,                 0.9933,                0.90872,                  1.077,              0.0006238,              0.0006238,              0.0006238
                     40,                0.82974,                0.61851,                 1.0069,                0.74326,                0.75337,                0.78564,                0.57944,                0.98971,                0.91277,                 1.0978,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82342,                0.63728,                 1.0001,                0.71101,                0.77113,                0.78036,                0.56486,                 1.0469,                0.98161,                  1.123,               0.000604,               0.000604,               0.000604
                     42,                0.82739,                0.62665,                 1.0046,                0.68175,                0.75164,                0.75825,                0.56487,                0.97802,                0.99048,                 1.0693,              0.0005941,              0.0005941,              0.0005941
                     43,                0.81325,                0.62389,                0.99204,                0.70212,                0.75566,                0.78009,                0.57238,                0.99088,                0.93541,                 1.0803,              0.0005842,              0.0005842,              0.0005842
                     44,                0.80825,                0.61824,                0.99282,                0.72004,                0.76097,                0.76787,                0.55425,                 1.0028,                0.93586,                 1.0782,              0.0005743,              0.0005743,              0.0005743
                     45,                0.80894,                0.61168,                0.99589,                 0.7663,                0.74997,                0.78492,                 0.5523,                 1.0255,                0.95293,                 1.1132,              0.0005644,              0.0005644,              0.0005644
                     46,                0.79915,                0.60277,                0.99489,                0.74635,                 0.7774,                 0.7888,                0.58188,                0.98661,                0.90749,                 1.0761,              0.0005545,              0.0005545,              0.0005545
                     47,                0.78985,                0.60354,                0.98839,                0.72406,                0.80464,                 0.7715,                0.54639,                 1.0167,                0.92956,                  1.092,              0.0005446,              0.0005446,              0.0005446
                     48,                0.78138,                0.59974,                 0.9823,                0.72087,                0.77116,                0.78389,                0.55055,                 1.0422,                0.99374,                 1.1263,              0.0005347,              0.0005347,              0.0005347
                     49,                0.79034,                0.59335,                0.97801,                0.67191,                0.79039,                0.76771,                0.54117,                 1.0175,                0.96928,                 1.0979,              0.0005248,              0.0005248,              0.0005248
                     50,                0.77624,                0.57763,                0.97505,                0.74801,                0.70526,                0.76896,                0.55084,                 1.0096,                 1.0463,                 1.1138,              0.0005149,              0.0005149,              0.0005149
                     51,                0.78179,                0.58105,                 0.9823,                0.77098,                0.74485,                0.77719,                0.57672,                0.99746,                 0.9278,                 1.0859,               0.000505,               0.000505,               0.000505
                     52,                0.77798,                0.58846,                0.97785,                0.74476,                0.74403,                0.77555,                0.56956,                 1.0212,                0.95251,                 1.1061,              0.0004951,              0.0004951,              0.0004951
                     53,                0.74583,                 0.5473,                0.96377,                0.74249,                 0.7722,                 0.7929,                0.56858,                0.99726,                0.93147,                 1.0812,              0.0004852,              0.0004852,              0.0004852
                     54,                 0.7587,                0.56516,                0.97465,                0.72596,                  0.797,                0.78151,                 0.5688,                 0.9931,                0.90201,                 1.0815,              0.0004753,              0.0004753,              0.0004753
                     55,                0.75736,                0.56438,                0.97442,                0.70739,                0.73214,                 0.7443,                0.55933,                  1.024,                0.96494,                 1.1111,              0.0004654,              0.0004654,              0.0004654
                     56,                0.75679,                0.56307,                0.96866,                0.76313,                0.70036,                0.77942,                0.56203,                0.99592,                0.94529,                 1.0957,              0.0004555,              0.0004555,              0.0004555
                     57,                0.76129,                0.56883,                0.97289,                0.79315,                0.71675,                 0.7785,                0.56235,                 0.9878,                0.95143,                  1.075,              0.0004456,              0.0004456,              0.0004456
                     58,                0.74456,                0.54817,                0.96307,                0.65441,                0.78009,                 0.7507,                0.55427,                 0.9993,                0.98186,                 1.0919,              0.0004357,              0.0004357,              0.0004357
                     59,                0.74338,                0.55435,                0.96646,                0.77994,                0.75154,                0.78583,                0.57768,                0.97798,                0.91251,                 1.0771,              0.0004258,              0.0004258,              0.0004258
                     60,                0.72561,                0.54325,                0.95944,                0.77311,                0.76862,                0.80339,                0.59244,                0.99287,                0.90659,                 1.0873,              0.0004159,              0.0004159,              0.0004159
                     61,                0.73638,                0.53762,                0.96635,                0.66642,                0.81959,                0.79086,                0.58302,                0.97868,                0.94188,                  1.082,               0.000406,               0.000406,               0.000406
                     62,                0.73429,                0.53817,                 0.9642,                0.77983,                0.78353,                0.78675,                0.57231,                0.99984,                0.93517,                 1.0835,              0.0003961,              0.0003961,              0.0003961
                     63,                0.72986,                0.53804,                0.96273,                0.76155,                 0.7314,                0.79778,                0.59251,                 1.0029,                0.89157,                 1.0883,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72968,                0.53657,                0.96609,                0.72391,                0.79644,                0.79223,                0.58119,                  1.002,                0.88193,                 1.0974,              0.0003763,              0.0003763,              0.0003763
                     65,                0.70753,                0.50853,                0.95311,                0.72773,                0.77002,                0.76136,                0.56371,                 1.0092,                0.99269,                 1.0951,              0.0003664,              0.0003664,              0.0003664
                     66,                0.71271,                0.52524,                0.95499,                0.73058,                0.80245,                0.78875,                0.56845,                0.98873,                0.92497,                 1.0937,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.7125,                0.52026,                0.95216,                0.72653,                 0.7716,                0.79446,                0.57843,                 1.0142,                0.95493,                 1.0985,              0.0003466,              0.0003466,              0.0003466
                     68,                0.69945,                0.50756,                0.94737,                 0.8112,                0.73983,                0.80725,                0.58055,                0.98803,                0.89832,                 1.0866,              0.0003367,              0.0003367,              0.0003367
                     69,                0.70333,                0.51177,                0.94782,                0.73341,                0.79299,                0.78665,                0.58042,                0.98871,                 0.9862,                 1.0895,              0.0003268,              0.0003268,              0.0003268
                     70,                 0.6969,                 0.5009,                0.94914,                0.74734,                0.74339,                0.77242,                0.55132,                 1.0067,                0.98355,                 1.1049,              0.0003169,              0.0003169,              0.0003169
                     71,                0.69049,                0.49325,                0.94816,                0.70938,                0.74553,                  0.755,                0.53856,                 1.0241,                0.99916,                 1.1094,               0.000307,               0.000307,               0.000307
                     72,                0.69101,                0.50332,                0.94569,                0.67119,                0.79535,                0.77961,                0.56639,                 1.0135,                 0.9804,                 1.1034,              0.0002971,              0.0002971,              0.0002971
                     73,                0.67498,                0.48468,                0.93933,                 0.6695,                0.79126,                0.77016,                 0.5542,                 1.0147,                  0.976,                 1.0965,              0.0002872,              0.0002872,              0.0002872
                     74,                0.68113,                0.48579,                0.94078,                0.71652,                0.75197,                0.77014,                0.55665,                 1.0185,                0.95087,                 1.1073,              0.0002773,              0.0002773,              0.0002773
                     75,                0.67342,                0.47677,                0.93678,                0.78103,                 0.7718,                0.79916,                0.58212,                  1.016,                0.91539,                  1.096,              0.0002674,              0.0002674,              0.0002674
                     76,                0.68224,                 0.4866,                0.94304,                0.76192,                 0.8001,                0.79589,                0.57281,                 1.0146,                0.89825,                 1.1059,              0.0002575,              0.0002575,              0.0002575
                     77,                0.65929,                0.47401,                0.93536,                0.70381,                0.80691,                0.78394,                0.56646,                 1.0098,                0.95486,                  1.094,              0.0002476,              0.0002476,              0.0002476
