                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0695,                 1.0616,                 1.1253,                0.43817,                0.78759,                0.60843,                0.40683,                 1.2021,                 1.2468,                 1.2513,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.0703,                 1.0682,                 1.1183,                 0.5257,                0.69539,                0.61766,                0.41387,                  1.199,                 1.3055,                 1.2608,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.0459,                  1.074,                 1.1133,                0.51012,                0.69127,                0.63219,                0.42853,                 1.1832,                 1.2447,                  1.257,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0466,                 1.0435,                 1.1117,                0.45808,                0.67729,                0.61507,                 0.4179,                 1.1785,                  1.285,                 1.2482,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0441,                 1.0274,                 1.1103,                 0.5408,                 0.7507,                0.64387,                0.42538,                  1.179,                 1.2609,                  1.253,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.0543,                 1.0494,                 1.1194,                0.61389,                0.61583,                0.65398,                0.43682,                 1.1903,                 1.2158,                 1.2541,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.0272,                 1.0086,                  1.109,                0.53647,                0.68134,                0.64131,                0.43205,                 1.1849,                 1.2408,                 1.2599,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.0218,                 0.9957,                 1.1088,                 0.6184,                0.59939,                0.64319,                0.41987,                 1.1702,                 1.2439,                 1.2695,               0.000604,               0.000604,               0.000604
                     42,                 1.0032,                 0.9728,                 1.0917,                0.56178,                0.70531,                0.66044,                0.43149,                 1.2057,                 1.2085,                 1.2656,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0234,                0.95846,                 1.1027,                0.45854,                0.72857,                0.59022,                0.39621,                 1.2007,                 1.2598,                 1.2513,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0084,                 0.9512,                 1.0941,                0.57732,                0.71523,                0.65841,                0.43857,                 1.1963,                  1.167,                 1.2429,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.0003,                 0.9359,                 1.0923,                0.53409,                 0.7276,                0.67298,                0.45358,                 1.1789,                 1.1572,                 1.2531,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.0147,                0.96001,                 1.1026,                0.58912,                0.69259,                 0.6498,                 0.4167,                 1.2084,                 1.2174,                 1.2649,              0.0005545,              0.0005545,              0.0005545
                     47,                0.98375,                0.90677,                 1.0797,                0.55877,                0.62587,                0.63612,                0.42283,                 1.1706,                 1.2254,                 1.2395,              0.0005446,              0.0005446,              0.0005446
                     48,                0.98378,                0.89535,                 1.0822,                0.58432,                0.69332,                0.64559,                0.43271,                 1.1837,                 1.2151,                 1.2493,              0.0005347,              0.0005347,              0.0005347
                     49,                 0.9707,                0.87124,                 1.0761,                0.61367,                0.67321,                0.65853,                0.44045,                 1.1946,                 1.2753,                 1.2655,              0.0005248,              0.0005248,              0.0005248
