                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85971,                0.68725,                 1.0177,                0.75126,                0.82812,                0.82766,                0.61079,                 1.0002,                0.77594,                 1.1077,              0.0006535,              0.0006535,              0.0006535
                     37,                0.83231,                0.64208,                 1.0073,                0.77393,                0.76854,                0.78181,                0.57064,                 1.0328,                0.82876,                 1.1185,              0.0006436,              0.0006436,              0.0006436
                     38,                0.85286,                0.66344,                 1.0184,                0.71323,                0.78791,                0.80163,                0.58739,                 1.0433,                0.83643,                 1.1218,              0.0006337,              0.0006337,              0.0006337
                     39,                0.84699,                0.65786,                 1.0119,                0.72851,                0.84705,                0.82259,                0.60286,                 1.0271,                0.79483,                 1.1167,              0.0006238,              0.0006238,              0.0006238
                     40,                 0.8358,                0.63814,                 1.0002,                0.75912,                0.78248,                0.82333,                0.59978,                 1.0422,                 0.7856,                 1.1324,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82973,                0.64066,                0.99876,                0.77013,                0.73367,                0.81966,                0.60079,                 1.0115,                0.78965,                 1.0941,               0.000604,               0.000604,               0.000604
                     42,                0.81964,                 0.6322,                0.99975,                0.71329,                  0.837,                0.83216,                0.60318,                 1.0395,                 0.7668,                 1.1144,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.8128,                0.62901,                0.99138,                0.78816,                0.81513,                0.84164,                0.61951,                 1.0076,                0.76957,                  1.096,              0.0005842,              0.0005842,              0.0005842
                     44,                0.82335,                0.64456,                0.99762,                0.73845,                 0.7756,                0.82447,                0.59465,                 1.0331,                0.82114,                 1.1138,              0.0005743,              0.0005743,              0.0005743
                     45,                0.81641,                0.62711,                0.99666,                0.74917,                0.78108,                0.81267,                0.59571,                 1.0174,                0.82309,                 1.0928,              0.0005644,              0.0005644,              0.0005644
                     46,                 0.7968,                  0.627,                0.98796,                0.76273,                0.73119,                0.79274,                0.58372,                 1.0362,                0.83512,                 1.1402,              0.0005545,              0.0005545,              0.0005545
                     47,                0.79243,                0.60306,                0.98413,                0.76902,                0.77264,                0.81424,                0.60146,                 1.0044,                 0.7855,                 1.1089,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.7947,                0.61371,                  0.991,                0.71664,                0.77989,                 0.7757,                0.56301,                 1.0366,                0.87281,                 1.1245,              0.0005347,              0.0005347,              0.0005347
                     49,                0.80475,                0.59612,                0.98233,                0.75503,                0.74649,                0.79346,                0.57938,                  1.034,                0.83675,                 1.1186,              0.0005248,              0.0005248,              0.0005248
                     50,                0.79227,                0.58114,                0.98009,                0.78413,                0.74831,                 0.8363,                0.61485,                 1.0454,                0.79329,                 1.1177,              0.0005149,              0.0005149,              0.0005149
                     51,                0.79472,                0.59468,                0.98577,                0.78087,                 0.7445,                0.81797,                0.59368,                 1.0104,                0.80224,                 1.0974,               0.000505,               0.000505,               0.000505
                     52,                0.77738,                0.58014,                0.97978,                0.75416,                0.78703,                 0.8109,                0.59047,                 1.0186,                0.78972,                 1.1112,              0.0004951,              0.0004951,              0.0004951
                     53,                0.75662,                0.56343,                0.96628,                0.74324,                0.79804,                  0.833,                0.60437,                 1.0289,                0.77603,                 1.1037,              0.0004852,              0.0004852,              0.0004852
                     54,                0.76532,                0.57467,                0.97229,                0.74923,                0.77753,                0.81009,                0.58946,                 1.0189,                0.80254,                 1.1082,              0.0004753,              0.0004753,              0.0004753
                     55,                0.77039,                0.57581,                 0.9803,                 0.7754,                0.76866,                0.81907,                0.58841,                 1.0521,                0.80619,                  1.137,              0.0004654,              0.0004654,              0.0004654
                     56,                0.75768,                0.56058,                 0.9698,                0.77012,                0.78799,                0.81385,                0.59796,                 1.0117,                0.80367,                 1.1114,              0.0004555,              0.0004555,              0.0004555
                     57,                0.75816,                0.56103,                0.97227,                0.76689,                0.77411,                0.84101,                0.61676,                 1.0272,                 0.7517,                 1.1239,              0.0004456,              0.0004456,              0.0004456
                     58,                0.76093,                0.55505,                0.96885,                0.81936,                0.74862,                0.85113,                0.63764,                 1.0092,                0.72251,                 1.1081,              0.0004357,              0.0004357,              0.0004357
                     59,                0.76498,                 0.5772,                0.97577,                0.82948,                0.80237,                0.85496,                0.62294,                 1.0176,                0.72544,                 1.1085,              0.0004258,              0.0004258,              0.0004258
                     60,                0.73755,                0.54318,                0.96425,                0.85755,                 0.7898,                  0.858,                 0.6127,                 1.0403,                0.71388,                 1.1177,              0.0004159,              0.0004159,              0.0004159
                     61,                0.73573,                0.54745,                 0.9611,                0.82531,                0.75941,                0.82183,                0.59638,                 1.0285,                0.77801,                 1.1173,               0.000406,               0.000406,               0.000406
                     62,                0.72595,                0.53497,                0.95374,                0.78778,                0.75424,                0.82179,                 0.6021,                 1.0365,                0.78323,                 1.1167,              0.0003961,              0.0003961,              0.0003961
                     63,                0.71918,                0.53788,                0.96346,                0.78737,                0.81352,                0.83965,                0.60735,                 1.0541,                0.75753,                 1.1317,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72083,                0.52849,                0.95626,                 0.8148,                0.76155,                0.84833,                0.61567,                 1.0235,                0.75584,                   1.13,              0.0003763,              0.0003763,              0.0003763
                     65,                0.71294,                0.52169,                0.95351,                0.79288,                0.71188,                0.81662,                0.59035,                 1.0501,                0.80984,                 1.1342,              0.0003664,              0.0003664,              0.0003664
                     66,                  0.711,                0.51909,                0.94424,                0.84828,                0.78378,                0.84652,                0.61887,                 1.0156,                0.72918,                 1.1131,              0.0003565,              0.0003565,              0.0003565
                     67,                0.71093,                 0.5238,                0.94971,                 0.8123,                0.73126,                0.81397,                0.59506,                   1.04,                0.79765,                 1.1238,              0.0003466,              0.0003466,              0.0003466
                     68,                0.70757,                0.51584,                0.94711,                0.76291,                0.82192,                0.82635,                0.60825,                  1.009,                0.76083,                 1.1111,              0.0003367,              0.0003367,              0.0003367
                     69,                0.69384,                0.51712,                0.94259,                0.77698,                0.77992,                 0.8147,                0.59188,                 1.0236,                0.78696,                 1.1146,              0.0003268,              0.0003268,              0.0003268
