                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5159,                 2.9142,                 1.4615,                0.46395,                0.68223,                0.54207,                0.29136,                 1.4217,                 1.7017,                 1.4526,             0.00027712,             0.00027712,             0.00027712
                      2,                 1.4192,                 1.8618,                 1.4501,                0.53428,                0.68527,                0.60467,                0.34531,                 1.3502,                 1.3332,                 1.4606,             0.00054563,             0.00054563,             0.00054563
                      3,                 1.4144,                  1.616,                 1.4723,                0.55069,                0.61324,                0.59012,                0.32114,                 1.4298,                 1.3184,                 1.5148,             0.00080498,             0.00080498,             0.00080498
                      4,                 1.3926,                 1.4557,                 1.4591,                0.53319,                0.73329,                0.67559,                0.40857,                 1.2853,                 1.1079,                 1.4272,             0.00079177,             0.00079177,             0.00079177
                      5,                 1.3529,                 1.3344,                 1.4241,                0.56448,                0.75079,                0.68178,                0.41224,                 1.2743,                 1.0887,                 1.4042,             0.00077802,             0.00077802,             0.00077802
                      6,                 1.3356,                 1.2759,                  1.416,                0.60247,                0.75751,                0.68962,                0.41582,                 1.2911,                 1.0545,                 1.4066,             0.00076428,             0.00076428,             0.00076428
                      7,                 1.3347,                 1.2326,                 1.4141,                0.57397,                0.76309,                0.69714,                 0.4241,                 1.2717,                 1.0222,                 1.4119,             0.00075053,             0.00075053,             0.00075053
                      8,                 1.3038,                 1.1842,                 1.3958,                0.60448,                0.78256,                0.71869,                0.45507,                 1.2067,                 1.0077,                 1.3535,             0.00073679,             0.00073679,             0.00073679
                      9,                 1.2816,                 1.1558,                 1.3824,                0.58076,                0.79422,                0.72271,                0.44403,                 1.2291,                0.96877,                 1.3742,             0.00072304,             0.00072304,             0.00072304
                     10,                 1.2805,                 1.1393,                 1.3795,                0.59881,                0.77656,                0.71038,                0.44635,                 1.2074,                0.94471,                 1.3782,              0.0007093,              0.0007093,              0.0007093
                     11,                 1.2635,                 1.1352,                 1.3753,                 0.6179,                0.79288,                0.73396,                0.47196,                 1.1905,                0.92752,                 1.3531,             0.00069556,             0.00069556,             0.00069556
                     12,                   1.26,                 1.1056,                 1.3617,                0.62752,                0.80323,                0.74938,                0.48003,                 1.1778,                0.90492,                 1.3398,             0.00068181,             0.00068181,             0.00068181
                     13,                  1.245,                 1.0915,                 1.3533,                0.59324,                0.82277,                 0.7635,                0.49206,                 1.1615,                0.86063,                 1.3491,             0.00066807,             0.00066807,             0.00066807
                     14,                 1.2319,                 1.0775,                 1.3493,                0.66766,                0.76043,                0.75756,                0.48949,                 1.1817,                0.89045,                  1.351,             0.00065432,             0.00065432,             0.00065432
                     15,                 1.2235,                 1.0655,                 1.3424,                0.67967,                0.74002,                0.76419,                0.49093,                 1.1677,                0.87055,                 1.3525,             0.00064058,             0.00064058,             0.00064058
                     16,                 1.2099,                 1.0475,                 1.3388,                0.63741,                0.78871,                0.75017,                0.48869,                 1.1422,                0.87148,                 1.3221,             0.00062683,             0.00062683,             0.00062683
                     17,                 1.2118,                 1.0404,                 1.3387,                0.64229,                0.78054,                0.75503,                0.50228,                 1.1256,                0.84958,                 1.2997,             0.00061309,             0.00061309,             0.00061309
                     18,                 1.1977,                 1.0229,                 1.3233,                0.65176,                0.83514,                0.78944,                0.52045,                 1.1266,                0.82978,                 1.3153,             0.00059934,             0.00059934,             0.00059934
                     19,                  1.183,                 1.0089,                 1.3225,                0.63286,                0.81098,                0.76927,                0.51066,                 1.1257,                0.83341,                 1.3216,              0.0005856,              0.0005856,              0.0005856
                     20,                 1.1927,                 1.0062,                 1.3234,                0.62975,                0.81977,                0.76784,                 0.5003,                 1.1435,                0.82592,                 1.3179,             0.00057185,             0.00057185,             0.00057185
                     21,                 1.1876,                  1.001,                 1.3169,                0.66188,                 0.8025,                0.75922,                0.51212,                 1.1006,                0.80784,                 1.2888,             0.00055811,             0.00055811,             0.00055811
                     22,                 1.1751,                 1.0038,                 1.3063,                0.67706,                0.83971,                 0.7947,                0.52481,                 1.1159,                0.80732,                 1.3118,             0.00054437,             0.00054437,             0.00054437
                     23,                  1.175,                0.99674,                  1.311,                0.67611,                0.80468,                0.78805,                0.53254,                 1.0938,                0.79598,                 1.2884,             0.00053062,             0.00053062,             0.00053062
                     24,                  1.152,                0.96303,                 1.2939,                0.68267,                0.78581,                0.79738,                   0.54,                 1.0764,                0.80062,                 1.2752,             0.00051688,             0.00051688,             0.00051688
                     25,                  1.155,                0.97571,                 1.3008,                0.68456,                0.77643,                0.77615,                0.52392,                 1.0909,                0.79754,                 1.2796,             0.00050313,             0.00050313,             0.00050313
                     26,                 1.1422,                0.96251,                 1.2897,                0.66501,                0.81323,                0.78997,                 0.5285,                 1.0925,                0.79132,                 1.3012,             0.00048939,             0.00048939,             0.00048939
                     27,                 1.1376,                0.94641,                 1.2893,                0.70065,                0.77098,                0.80641,                0.53805,                 1.0808,                0.76948,                 1.2846,             0.00047564,             0.00047564,             0.00047564
                     28,                  1.135,                 0.9433,                  1.281,                0.70651,                0.80397,                 0.7981,                0.54758,                 1.0662,                0.76553,                 1.2686,              0.0004619,              0.0004619,              0.0004619
                     29,                 1.1257,                0.94379,                 1.2801,                0.67871,                0.83368,                0.80403,                0.55264,                 1.0698,                0.76875,                 1.2643,             0.00044815,             0.00044815,             0.00044815
                     30,                  1.116,                0.93098,                 1.2682,                0.72531,                0.79851,                0.81391,                0.56384,                 1.0281,                0.75517,                 1.2491,             0.00043441,             0.00043441,             0.00043441
                     31,                 1.1014,                0.90987,                 1.2661,                0.71172,                0.80005,                0.80799,                0.55378,                  1.047,                0.75531,                 1.2583,             0.00042066,             0.00042066,             0.00042066
                     32,                 1.0974,                0.91889,                   1.26,                0.68076,                 0.8193,                0.80745,                 0.5644,                 1.0436,                0.75445,                 1.2517,             0.00040692,             0.00040692,             0.00040692
                     33,                 1.0966,                0.90306,                 1.2621,                0.74685,                 0.7611,                 0.8193,                0.57123,                 1.0225,                0.73844,                 1.2272,             0.00039318,             0.00039318,             0.00039318
                     34,                 1.0869,                 0.9024,                  1.253,                0.73687,                0.80672,                 0.8226,                0.56969,                 1.0358,                0.73209,                 1.2523,             0.00037943,             0.00037943,             0.00037943
                     35,                 1.0871,                0.89266,                  1.262,                0.73717,                0.81592,                0.82646,                  0.583,                 1.0117,                0.72534,                 1.2251,             0.00036569,             0.00036569,             0.00036569
                     36,                 1.0797,                0.90112,                 1.2502,                0.77191,                0.78345,                0.83735,                0.59055,                 1.0236,                0.72255,                 1.2332,             0.00035194,             0.00035194,             0.00035194
                     37,                 1.0809,                0.87452,                  1.253,                0.77864,                 0.7631,                0.82106,                  0.581,                 1.0058,                0.70926,                  1.227,              0.0003382,              0.0003382,              0.0003382
                     38,                 1.0647,                0.86404,                 1.2335,                0.79252,                0.78681,                0.83972,                0.60169,                 1.0029,                0.70044,                 1.2136,             0.00032445,             0.00032445,             0.00032445
                     39,                 1.0643,                0.86727,                 1.2398,                0.74914,                0.81812,                0.83921,                0.59694,                0.99411,                 0.7016,                 1.2138,             0.00031071,             0.00031071,             0.00031071
                     40,                 1.0507,                0.85622,                  1.225,                0.77267,                0.78821,                0.84127,                0.59756,                0.99846,                0.69379,                 1.2206,             0.00029696,             0.00029696,             0.00029696
                     41,                 1.0567,                0.85207,                 1.2294,                0.79334,                0.79473,                0.84513,                0.60771,                0.96564,                0.68538,                 1.1868,             0.00028322,             0.00028322,             0.00028322
                     42,                 1.0377,                0.85256,                 1.2172,                0.75792,                0.82945,                 0.8522,                 0.6193,                0.95928,                0.68006,                 1.1872,             0.00026948,             0.00026948,             0.00026948
                     43,                 1.0425,                0.84586,                 1.2262,                0.75759,                0.82724,                0.85397,                0.61116,                0.97048,                0.67849,                 1.1998,             0.00025573,             0.00025573,             0.00025573
                     44,                 1.0321,                0.83644,                 1.2185,                0.76602,                0.83747,                0.85364,                0.62178,                0.95667,                0.66191,                 1.1868,             0.00024199,             0.00024199,             0.00024199
                     45,                 1.0299,                 0.8383,                 1.2133,                0.79108,                0.81728,                0.86424,                0.63372,                  0.941,                0.65224,                 1.1712,             0.00022824,             0.00022824,             0.00022824
                     46,                 1.0255,                0.82685,                 1.2123,                0.80294,                0.81195,                0.86743,                0.64075,                0.93366,                0.64562,                 1.1636,              0.0002145,              0.0002145,              0.0002145
                     47,                 1.0172,                0.83241,                 1.2078,                0.79841,                0.80901,                0.86559,                0.63342,                 0.9622,                0.65266,                 1.1873,             0.00020075,             0.00020075,             0.00020075
                     48,                 1.0139,                0.82131,                 1.2091,                0.80158,                0.82237,                0.86921,                0.64363,                0.92157,                0.63996,                 1.1529,             0.00018701,             0.00018701,             0.00018701
                     49,                0.99922,                0.80807,                 1.2019,                0.82178,                0.81312,                0.86854,                0.64595,                0.93716,                0.64013,                 1.1675,             0.00017326,             0.00017326,             0.00017326
                     50,                0.99873,                0.81351,                 1.1935,                0.79128,                0.82673,                0.86547,                0.64587,                0.91755,                0.63727,                 1.1583,             0.00015952,             0.00015952,             0.00015952
                     51,                 0.9478,                 0.7097,                 1.1616,                0.84066,                0.78888,                0.87166,                0.65048,                0.90287,                 0.6383,                 1.1484,             0.00014577,             0.00014577,             0.00014577
                     52,                0.93518,                0.68868,                 1.1508,                0.80853,                0.82768,                0.87275,                0.65308,                0.89744,                0.63123,                 1.1409,             0.00013203,             0.00013203,             0.00013203
                     53,                0.92584,                0.68754,                   1.15,                0.81624,                0.82841,                0.87876,                0.65631,                0.89584,                0.62345,                 1.1471,             0.00011829,             0.00011829,             0.00011829
                     54,                0.91449,                0.67667,                 1.1431,                0.80688,                0.83958,                0.88253,                0.66177,                0.88861,                0.61523,                  1.145,             0.00010454,             0.00010454,             0.00010454
                     55,                0.90833,                0.66826,                 1.1394,                0.82226,                  0.834,                0.88501,                0.67135,                0.87331,                0.60764,                 1.1301,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     56,                0.90066,                0.66835,                 1.1301,                0.84048,                0.83381,                0.88473,                0.67345,                0.86857,                0.60222,                 1.1296,             7.7053e-05,             7.7053e-05,             7.7053e-05
                     57,                 0.8925,                0.66147,                  1.128,                0.86377,                0.80467,                 0.8864,                0.67391,                0.87046,                0.60081,                 1.1304,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     58,                0.87429,                0.65992,                 1.1152,                0.81291,                 0.8443,                0.88728,                0.67785,                0.86183,                 0.5993,                  1.122,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     59,                0.87339,                0.64992,                 1.1174,                0.86026,                0.79791,                0.88754,                0.67792,                0.86561,                0.59607,                 1.1254,             3.5819e-05,             3.5819e-05,             3.5819e-05
                     60,                0.86453,                0.64309,                  1.114,                0.81263,                0.84638,                0.89028,                0.68218,                0.85514,                   0.59,                 1.1205,             2.2075e-05,             2.2075e-05,             2.2075e-05
